name,        py-name,     type,      description
obs_jd,      obs-jd,      float,
dec,         dec,         float,
ra,          ra,          float,
filename,    filename,    str,

SIMPLE,      SIMPLE,      bool,
BITPIX,      BITPIX,      int,
NAXIS,       NAXIS,       int,
NAXIS1,      NAXIS1,      int,
NAXIS2,      NAXIS2,      int,
BSCALE,      BSCALE,      float,
BZERO,       BZERO,       float,
BIAS,        BIAS,        int,
FOCALLEN,    FOCALLEN,    float,
APTAREA,     APTAREA,     float,
APTDIA,      APTDIA,      float,
DATE_OBS,    DATE-OBS,    str,
TIME_OBS,    TIME-OBS,    str,
SWCREATE,    SWCREATE,    str,
SET_TEMP,    SET-TEMP,    float,
COLORCCD,    COLORCCD,    int,
DISPCOLR,    DISPCOLR,    int,
IMAGETYP,    IMAGETYP,    str,
CCDSFPT,     CCDSFPT,     int,
XORGSUBF,    XORGSUBF,    int,
YORGSUBF,    YORGSUBF,    int,
CCDSUBFL,    CCDSUBFL,    int,
CCDSUBFT,    CCDSUBFT,    int,
XBINNING,    XBINNING,    int,
CCDXBIN,     CCDXBIN,     int,
YBINNING,    YBINNING,    int,
CCDYBIN,     CCDYBIN,     int,
EXPSTATE,    EXPSTATE,    int,
CCD_TEMP,    CCD-TEMP,    float,
TEMPERAT,    TEMPERAT,    float,
OBJECT,      OBJECT,      str,
OBJCTRA,     OBJCTRA,     str,
OBJCTDEC,    OBJCTDEC,    str,
TELTKRA,     TELTKRA,     float,
TELTKDEC,    TELTKDEC,    float,
CENTAZ,      CENTAZ,      float,
CENTALT,     CENTALT,     float,
TELHA,       TELHA,       str,
LST,         LST,         str,
AIRMASS,     AIRMASS,     float,
SITELAT,     SITELAT,     str,
SITELONG,    SITELONG,    str,
INSTRUME,    INSTRUME,    str,
EGAIN,       EGAIN,       float,
E_GAIN,      E-GAIN,      float,
XPIXSZ,      XPIXSZ,      float,
YPIXSZ,      YPIXSZ,      float,
SBIGIMG,     SBIGIMG,     int,
USER_2,      USER_2,      str,
DATAMAX,     DATAMAX,     int,
SBSTDVER,    SBSTDVER,    str,
FILTER,      FILTER,      str,
EXPTIME,     EXPTIME,     float,
EXPOSURE,    EXPOSURE,    float,
CBLACK,      CBLACK,      int,
CWHITE,      CWHITE,      int

CTYPE1,      CTYPE1,      str,
CTYPE2,      CTYPE2,      str,
EQUINOX,     EQUINOX,     float,
CRVAL1,      CRVAL1,      float,
CRVAL2,      CRVAL2,      float,
CRPIX1,      CRPIX1,      float,
CRPIX2,      CRPIX2,      float,
CUNIT1,      CUNIT1,      str,
CUNIT2,      CUNIT2,      str,
CD1_1,       CD1_1,       float,
CD1_2,       CD1_2,       float,
CD2_1,       CD2_1,       float,
CD2_2,       CD2_2,       float,
PLATE_SCALE, PLATE_SCALE, float
